"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2014","UK","United Kingdom",0.472550710,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","BE","Belgium",0.409792020,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","CZ","Czechia",0.009144850,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","DE","Germany",0.145270190,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","DK","Denmark",0.015740980,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","EE","Estonia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","EL","Greece",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","ES","Spain",0.452571390,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","EU27_21","EU (without UK)",0.122710000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","EU27_UK_21","EU (with UK until 2019)",0.128377000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","EUEEA30_21","EU/EEA (without UK)",0.122710000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","EUEEAUK_21","EU/EEA (with UK until 2019)",0.128377000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","FI","Finland",0.115891370,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","FR","France",0.109375580,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","HR","Croatia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","HU","Hungary",0.021558930,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","IE","Ireland",0.022927830,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","IT","Italy",0.033374750,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","LT","Lithuania",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","LU","Luxembourg",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","LV","Latvia",0.107002690,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","MT","Malta",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","NL","Netherlands",-,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","PL","Poland",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","PT","Portugal",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","RO","Romania",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","SE","Sweden",0.226956440,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","SI","Slovenia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","SK","Slovakia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2015","UK","United Kingdom",0.164168130,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","AT","Austria",0.103019920,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","BE","Belgium",0.265015710,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","CZ","Czechia",0.070143070,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","DE","Germany",0.092496260,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","DK","Denmark",0.040978230,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","EE","Estonia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","EL","Greece",0.020058990,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","ES","Spain",0.222091860,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","EU27_21","EU (without UK)",0.075894000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","EU27_UK_21","EU (with UK until 2019)",0.101349000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","EUEEA30_21","EU/EEA (without UK)",0.075894000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","EUEEAUK_21","EU/EEA (with UK until 2019)",0.101349000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","FI","Finland",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","FR","France",0.066160370,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","HR","Croatia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","HU","Hungary",0.010367380,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","IE","Ireland",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","IT","Italy",0.026533570,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","LT","Lithuania",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","LU","Luxembourg",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","LV","Latvia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","MT","Malta",0.218219510,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","NL","Netherlands",-,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","PL","Poland",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","PT","Portugal",0.028894800,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","RO","Romania",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","SE","Sweden",0.214169130,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","SI","Slovenia",0.100780300,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","SK","Slovakia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2016","UK","United Kingdom",0.264572580,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","AT","Austria",0.057499040,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","BE","Belgium",0.086509530,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","CZ","Czechia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","DE","Germany",0.043157070,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","DK","Denmark",0.016620210,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","EE","Estonia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","EL","Greece",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","ES","Spain",0.114922440,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","EU27_21","EU (without UK)",0.100856000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","EU27_UK_21","EU (with UK until 2019)",0.109117000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","EUEEA30_21","EU/EEA (without UK)",0.100856000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","EUEEAUK_21","EU/EEA (with UK until 2019)",0.109117000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","FI","Finland",0.077314300,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","FR","France",0.054498380,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","HR","Croatia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","HU","Hungary",0.009509180,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","IE","Ireland",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","IT","Italy",0.440774280,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","LT","Lithuania",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","LU","Luxembourg",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","LV","Latvia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","MT","Malta",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","NL","Netherlands",-,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","PL","Poland",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","PT","Portugal",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","RO","Romania",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","SE","Sweden",0.122528570,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","SI","Slovenia",0.000000000,""
"Chikungunya virus disease","All cases","Age standardised rate","N/100000","2017","SK","Slovakia",0.000000000,""
