"HealthTopic","Population","Indicator","Unit","Time","RegionCode","RegionName","NumValue","TxtValue"
"Malaria","All cases","Reported cases","N","2012","EE","Estonia",6.000000000,""
"Malaria","All cases","Reported cases","N","2012","EL","Greece",95.000000000,""
"Malaria","All cases","Reported cases","N","2012","ES","Spain",421.000000000,""
"Malaria","All cases","Reported cases","N","2012","EU27_21","EU (without UK)",4482.000000000,""
"Malaria","All cases","Reported cases","N","2012","EU27_UK_21","EU (with UK until 2019)",5860.000000000,""
"Malaria","All cases","Reported cases","N","2012","EUEEA30_21","EU/EEA (without UK)",4519.000000000,""
"Malaria","All cases","Reported cases","N","2012","EUEEAUK_21","EU/EEA (with UK until 2019)",5897.000000000,""
"Malaria","All cases","Reported cases","N","2012","FI","Finland",46.000000000,""
"Malaria","All cases","Reported cases","N","2012","FR","France",1851.000000000,""
"Malaria","All cases","Reported cases","N","2012","HR","Croatia",23.000000000,""
"Malaria","All cases","Reported cases","N","2012","HU","Hungary",5.000000000,""
"Malaria","All cases","Reported cases","N","2012","IE","Ireland",65.000000000,""
"Malaria","All cases","Reported cases","N","2012","IT","Italy",642.000000000,""
"Malaria","All cases","Reported cases","N","2012","LT","Lithuania",6.000000000,""
"Malaria","All cases","Reported cases","N","2012","LU","Luxembourg",7.000000000,""
"Malaria","All cases","Reported cases","N","2012","LV","Latvia",3.000000000,""
"Malaria","All cases","Reported cases","N","2012","MT","Malta",2.000000000,""
"Malaria","All cases","Reported cases","N","2012","NL","Netherlands",194.000000000,""
"Malaria","All cases","Reported cases","N","2012","NO","Norway",37.000000000,""
"Malaria","All cases","Reported cases","N","2012","PL","Poland",21.000000000,""
"Malaria","All cases","Reported cases","N","2012","PT","Portugal",71.000000000,""
"Malaria","All cases","Reported cases","N","2012","RO","Romania",32.000000000,""
"Malaria","All cases","Reported cases","N","2012","SE","Sweden",85.000000000,""
"Malaria","All cases","Reported cases","N","2012","SI","Slovenia",7.000000000,""
"Malaria","All cases","Reported cases","N","2012","SK","Slovakia",6.000000000,""
"Malaria","All cases","Reported cases","N","2012","UK","United Kingdom",1378.000000000,""
"Malaria","All cases","Reported cases","N","2013","AT","Austria",42.000000000,""
"Malaria","All cases","Reported cases","N","2013","BE","Belgium",253.000000000,""
"Malaria","All cases","Reported cases","N","2013","BG","Bulgaria",8.000000000,""
"Malaria","All cases","Reported cases","N","2013","CY","Cyprus",3.000000000,""
"Malaria","All cases","Reported cases","N","2013","CZ","Czechia",27.000000000,""
"Malaria","All cases","Reported cases","N","2013","DE","Germany",638.000000000,""
"Malaria","All cases","Reported cases","N","2013","DK","Denmark",63.000000000,""
"Malaria","All cases","Reported cases","N","2013","EE","Estonia",3.000000000,""
"Malaria","All cases","Reported cases","N","2013","EL","Greece",25.000000000,""
"Malaria","All cases","Reported cases","N","2013","ES","Spain",518.000000000,""
"Malaria","All cases","Reported cases","N","2013","EU27_21","EU (without UK)",5061.000000000,""
"Malaria","All cases","Reported cases","N","2013","EU27_UK_21","EU (with UK until 2019)",6562.000000000,""
"Malaria","All cases","Reported cases","N","2013","EUEEA30_21","EU/EEA (without UK)",5133.000000000,""
"Malaria","All cases","Reported cases","N","2013","EUEEAUK_21","EU/EEA (with UK until 2019)",6634.000000000,""
"Malaria","All cases","Reported cases","N","2013","FI","Finland",38.000000000,""
"Malaria","All cases","Reported cases","N","2013","FR","France",2165.000000000,""
"Malaria","All cases","Reported cases","N","2013","HR","Croatia",20.000000000,""
"Malaria","All cases","Reported cases","N","2013","HU","Hungary",5.000000000,""
"Malaria","All cases","Reported cases","N","2013","IE","Ireland",71.000000000,""
"Malaria","All cases","Reported cases","N","2013","IT","Italy",677.000000000,""
"Malaria","All cases","Reported cases","N","2013","LT","Lithuania",8.000000000,""
"Malaria","All cases","Reported cases","N","2013","LU","Luxembourg",4.000000000,""
"Malaria","All cases","Reported cases","N","2013","LV","Latvia",4.000000000,""
"Malaria","All cases","Reported cases","N","2013","MT","Malta",5.000000000,""
"Malaria","All cases","Reported cases","N","2013","NL","Netherlands",162.000000000,""
"Malaria","All cases","Reported cases","N","2013","NO","Norway",72.000000000,""
"Malaria","All cases","Reported cases","N","2013","PL","Poland",36.000000000,""
"Malaria","All cases","Reported cases","N","2013","PT","Portugal",117.000000000,""
"Malaria","All cases","Reported cases","N","2013","RO","Romania",43.000000000,""
"Malaria","All cases","Reported cases","N","2013","SE","Sweden",119.000000000,""
"Malaria","All cases","Reported cases","N","2013","SI","Slovenia",3.000000000,""
"Malaria","All cases","Reported cases","N","2013","SK","Slovakia",4.000000000,""
