nuts3_id,water_area_km2,water_bodies_count,water_pct
ITC4C,21.96,2,1.33
ITF11,13.15,2,0.26
ITF13,5.38,1,0.45
ITF14,10.37,4,0.42
ITF22,49.6,3,1.69
ITF31,7.37,2,0.27
ITF32,4.28,1,0.21
ITF35,0.42,1,0.01
ITF43,18.29,1,0.76
ITF45,0.91,2,0.03
ITF46,123.11,7,1.77
ITF51,33.96,3,0.5
ITF52,53.25,3,1.58
ITF61,25.6,3,0.38
ITF62,0.0,1,0.0
ITF63,0.04,1,0.0
ITG11,6.63,1,0.27
ITG12,12.41,4,0.25
ITG13,2.19,1,0.07
ITG14,4.78,2,0.16
ITG15,0.88,1,0.04
ITG16,8.03,2,0.32
ITG17,11.29,1,0.32
ITG18,2.07,2,0.14
ITG19,3.39,2,0.15
ITG2D,24.78,7,0.32
ITG2E,5.66,2,0.1
ITG2F,28.67,4,2.25
ITG2G,55.73,8,1.92
ITG2H,24.66,6,0.37
ITH10,8.46,3,0.11
ITH20,39.19,10,0.65
ITH31,140.9,8,4.6
ITH33,22.42,6,0.6
ITH34,34.64,4,1.37
ITH35,42.82,9,2.01
ITH36,3.46,2,0.16
ITH37,82.99,20,4.56
ITH41,12.33,3,0.56
ITH42,10.97,9,0.21
ITH43,4.14,2,1.28
ITH51,32.22,3,1.22
ITH52,26.14,5,0.76
ITH53,14.85,3,0.65
ITH55,2.12,3,0.06
ITH56,134.28,11,4.89
ITH57,17.7,3,0.96
ITI12,15.37,2,0.87
ITI19,1.43,2,0.04
ITI1A,21.04,3,0.45
ITI21,122.56,2,1.91
ITI22,17.43,3,0.83
ITI41,127.1,3,3.59
ITI42,15.49,5,0.57
ITI43,62.87,4,1.15
ITI44,15.74,6,0.68
ITI45,0.84,1,0.03
LT011,99.89,82,1.03
LT021,130.79,54,2.46
LT022,93.14,12,1.13
LT023,23.1,4,0.48
LT024,18.41,8,0.42
LT025,32.9,16,0.42
LT026,17.07,12,0.2
LT027,32.9,8,0.75
LT028,47.14,15,1.09
LT029,359.5,138,5.01
LU000,1.52,3,0.06
LV005,441.22,122,3.03
LV009,64.77,19,0.6
LV00A,119.71,13,3.41
LV00B,212.72,28,1.32
LV00C,217.44,57,1.1
ME000,292.39,12,2.1
MK001,0.83,1,0.02
MK003,299.23,2,8.33
MK004,23.36,2,0.85
MK005,196.13,1,4.03
MK006,11.99,1,0.5
NL112,1.56,2,0.81
NL114,0.62,1,0.08
NL115,19.52,6,1.33
NL126,3.47,5,0.36
NL127,36.73,10,2.64
NL128,513.7,21,34.68
NL131,0.36,2,0.04
NL211,53.97,9,3.35
NL221,45.14,3,2.32
NL224,30.38,2,4.18
NL226,30.3,2,3.56
NL230,980.75,4,42.96
NL321,396.96,4,25.07
NL323,2.92,2,1.67
NL325,6.33,2,6.25
NL327,65.02,12,25.31
NL328,4.2,2,1.18
NL32A,0.53,1,0.5
NL32B,101.42,11,11.3
NL341,4.04,5,0.66
NL342,16.74,1,1.45
NL350,46.44,12,2.85
NL361,1.28,1,0.47
NL363,11.11,3,3.42
NL364,47.02,2,10.94
NL365,16.51,10,3.27
NL366,67.36,6,4.6
NL411,30.04,1,2.38
NL414,2.93,4,0.19
NL415,22.19,3,2.62
NL416,9.55,4,0.71
NL421,2.07,4,0.24
NL422,15.91,6,2.3
NO020,1808.89,355,3.47
NO060,1499.44,367,3.48
NO071,1135.13,336,2.84
NO072,408.18,164,1.5
NO073,975.33,506,1.98
NO081,11.83,7,2.47
NO083,274.09,41,6.71
NO084,279.08,53,4.49
NO085,601.95,123,4.14
NO092,570.96,288,3.43
NO093,56.78,16,2.65
NO094,886.34,189,5.81
NO0A1,333.35,151,3.46
NO0A2,734.53,377,2.03
NO0A3,192.33,109,1.27
NO0B1,7.16,3,1.52
PL217,1.53,2,0.06
PL218,12.11,1,0.35
PL219,0.63,2,0.02
PL21A,1.88,1,0.1
PL224,0.48,1,0.02
PL225,22.91,3,0.95
PL228,3.38,1,0.21
PL229,0.64,1,0.08
PL22C,13.66,2,1.43
PL411,70.5,42,1.1
PL414,89.97,37,1.4
PL415,3.28,2,1.33
PL416,4.49,7,0.08
PL417,61.95,55,1.03
PL418,40.87,36,0.83
PL424,57.16,2,24.23
PL426,27.6,17,0.64
PL427,312.24,168,3.03
PL428,154.08,56,1.99
PL431,69.59,58,1.13
PL432,45.31,36,0.58
PL515,17.95,15,0.32
PL516,9.79,5,0.28
PL518,23.73,17,0.37
PL523,31.45,2,0.77
PL524,39.11,5,0.74
PL613,51.37,14,1.82
PL616,87.44,56,2.13
PL617,87.21,49,2.19
PL618,64.09,46,1.9
PL619,108.73,32,2.92
PL621,215.46,78,2.92
PL622,320.07,117,3.07
PL623,477.51,73,7.61
PL633,1.39,2,0.31
PL634,63.99,36,1.53
PL636,152.91,49,2.85
PL637,137.81,61,3.37
PL638,83.8,33,2.04
PL713,1.52,4,0.03
PL714,0.02,1,0.0
PL715,10.16,4,0.24
PL721,1.49,4,0.03
PL722,18.7,9,0.28
PL811,15.32,10,0.25
PL812,8.5,8,0.09
PL814,21.91,21,0.53
PL815,68.33,19,1.25
PL821,12.55,2,0.22
PL822,1.91,2,0.04
PL823,0.8,1,0.02
PL824,10.37,8,0.23
PL841,2.92,4,0.06
PL842,0.63,2,0.01
PL843,128.71,52,2.04
PL911,16.37,1,3.54
PL912,32.05,3,1.0
PL913,43.02,3,1.73
PL921,41.91,5,0.72
PL922,18.03,5,0.34
PL923,78.68,11,2.39
PL924,1.67,2,0.03
PL925,24.73,2,0.41
PL926,16.9,4,0.69
PT111,15.83,1,0.71
PT112,8.42,2,0.68
PT119,5.89,2,0.4
PT11A,14.11,1,0.65
PT11B,39.07,6,1.36
PT11C,3.77,1,0.22
PT11D,6.52,2,0.16
PT11E,4.72,3,0.09
PT150,12.94,3,0.26
PT191,21.74,3,1.39
PT192,42.99,5,0.98
PT193,0.94,1,0.04
PT194,12.38,1,0.39
PT195,54.35,6,1.03
PT196,0.42,1,0.01
PT1B0,2.18,2,0.15
PT1C1,52.0,8,0.99
PT1C2,88.22,9,1.03
PT1C3,99.71,7,1.67
PT1C4,212.77,8,2.82
PT1D2,39.95,2,1.55
PT1D3,1.41,1,0.03
RO114,0.73,1,0.01
RO124,2.42,1,0.04
RO125,0.89,1,0.01
RO212,38.65,16,0.75
RO213,4.18,5,0.08
RO214,28.46,1,0.49
RO216,4.02,2,0.07
RO221,183.74,26,3.85
RO222,11.44,3,0.19
RO223,353.11,23,4.91
RO224,72.0,11,1.64
RO225,1011.86,86,12.06
RO226,2.97,3,0.06
RO311,11.24,1,0.17
RO312,156.76,8,3.05
RO313,7.8,1,0.19
RO314,37.53,1,1.07
RO315,77.43,11,1.72
RO317,109.48,9,1.9
RO321,0.29,1,0.12
RO322,9.33,4,0.64
RO411,204.34,16,2.75
RO413,104.39,7,2.11
RO414,91.71,6,1.64
RO421,0.79,1,0.01
RO422,50.58,2,0.6
RO423,1.38,1,0.02
RS110,86.58,1,2.65
RS121,23.5,6,1.02
RS122,45.08,2,1.1
RS123,71.7,3,1.85
RS124,0.58,1,0.02
RS125,9.04,2,0.5
RS126,21.43,6,0.66
RS127,75.82,1,2.11
RS211,9.56,2,0.16
RS213,29.61,1,0.91
RS221,68.09,2,1.91
RS222,35.08,1,0.93
RS227,9.05,2,0.73
RS228,14.07,1,0.4
SE110,733.17,124,9.21
SE121,522.9,82,5.97
SE122,985.35,117,13.98
SE123,1495.02,159,11.98
SE124,934.29,152,9.76
SE125,480.4,60,8.53
SE211,1160.26,193,9.74
SE212,915.04,171,9.9
SE213,460.47,203,3.93
SE214,9.54,7,0.3
SE221,43.79,40,1.46
SE224,296.92,62,2.65
SE231,169.35,64,2.94
SE232,4694.71,259,16.06
SE311,3975.01,270,18.09
SE312,1529.66,343,5.0
SE313,1069.72,266,5.47
SE321,841.2,299,3.62
SE322,3513.68,541,6.48
SE331,2517.38,597,4.24
SE332,4942.88,828,4.66
SI036,1.25,1,0.14
SI042,4.02,2,0.19
SK010,16.14,2,0.77
SK021,50.4,5,1.25
SK022,5.23,1,0.12
SK023,11.72,4,0.19
SK031,25.34,3,0.37
SK041,19.12,1,0.21
SK042,19.57,1,0.29
TR100,99.79,5,1.96
TR212,22.07,6,0.37
TR213,0.7,1,0.01
TR221,198.54,3,1.33
TR222,4.06,2,0.04
TR310,3.69,4,0.03
TR321,93.44,5,1.16
TR322,154.09,8,1.31
TR323,78.17,6,0.59
TR331,98.54,3,0.74
TR332,490.55,12,3.5
TR333,15.99,3,0.14
TR334,13.66,1,0.24
TR411,447.39,3,4.17
TR412,60.45,11,0.44
TR421,16.73,1,0.46
TR422,36.21,6,0.76
TR423,4.28,1,0.17
TR424,3.57,3,0.04
TR510,695.63,11,2.7
TR521,1374.71,24,3.37
TR522,1.22,1,0.01
TR611,21.57,9,0.11
TR612,680.88,6,7.83
TR613,360.57,17,4.87
TR621,136.13,9,0.98
TR622,11.87,1,0.07
TR631,62.53,2,1.12
TR632,30.27,5,0.21
TR633,62.19,2,1.84
TR712,258.58,5,3.27
TR715,162.69,3,2.48
TR721,37.18,4,0.21
TR722,69.85,4,0.25
TR823,0.95,1,0.02
TR831,136.7,7,1.39
TR832,66.05,1,0.64
TR833,0.87,1,0.01
TRA11,7.99,1,0.03
TRA12,18.84,1,0.16
TRA21,47.57,4,0.41
TRA22,35.47,5,0.35
TRA23,0.22,1,0.01
TRA24,109.6,2,2.2
TRB11,286.54,3,2.31
TRB12,459.61,5,4.97
TRB14,256.58,2,3.37
TRB21,2095.83,10,10.16
TRB22,28.66,5,0.32
TRB23,1630.61,5,20.04
TRC11,10.93,2,0.16
TRC12,178.84,5,2.43
TRC21,126.88,2,0.66
TRC22,189.81,4,1.28
TRC31,9.16,1,0.1
TRC32,260.66,2,5.92
TRC33,28.06,1,0.39
TRC34,137.91,3,2.48
XK001,2.43,1,0.11
